species	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc3	std_gc3	var_gc3	gci	std_gci	var_gci
Patagioenas_fasciata	24805	13382	0	0.839451000339432	0.00000370027685450432	0.878033606578717	0	0.605455543239358	0.00149904047877	0.0300709913812535	0.466528748136459	0.00088677918291276	0.0100868618739867
Terrapene_carolina	34138	15827	0	0.6923427000187	0.000717353032185345	0.798796373622312	0	0.562255435530106	0.00133847421222153	0.0283542796820096	0.463074051600675	0.000627531310727524	0.00586755363455673
Osmia_bicornis	24839	9753	0	0.653016449246976	0.00179850643702629	0.83497081922573	0	0.375931769795569	0.00146118525168954	0.0208232629996307	0.28350240236116	0.000848638279899608	0.0066012334013971
Neophocaena_asiaeorientalis	38119	13614	0	0.615500550463	0.00386593142470095	0.864562307729036	0	0.614335475510741	0.00141469347783678	0.0272464828596885	0.463204895363582	0.000779647766027565	0.00777197827117168
Ovis_aries	42391	15994	0	0.248400609974108	0.290960131061531	0.848643406907542	0	0.626418832825007	0.0013104596000441	0.0274665659873839	0.465580067081347	0.000704441767120595	0.00727485205985004
Lamprotornis_superbus	14256	5739	0	0.640976470156997	0.00232404199899154	0.834556616014467	0	0.559257635791137	0.00183953786812235	0.019420199622222	0.431123328968253	0.000985500415026648	0.00546597589080359
Nematolebias_whitei	24104	16637	0	0.815651096212581	0.0000117073784286346	0.365940715548766	0	0.631042015771667	0.000797259965159725	0.0105748673716974	0.388884076332055	0.000289531908386974	0.00132306878205084
Tetranychus_urticae	15684	10426	0	0.606962388603855	0.00454193941056154	0.115402945097886	0.0000000000000000000000000012172556307335	0.292661489821109	0.000381857150326046	0.00152026597281797	0.268143801695201	0.000412976764660838	0.00151038910097404
Ixodes_scapularis	32572	9680	0	0.543265767034579	0.0133038756798684	0.415454032223266	0	0.729315487485474	0.00105333900205036	0.0107401831553675	0.451356629489522	0.000301896494579172	0.000788373918249009
Centruroides_sculpturatus	35529	18780	0	0.419706686318882	0.0654364077959156	0.257730955032547	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126521257087022	0.314761450222898	0.000793451477398347	0.0118232353383899	0.287769253409536	0.000404268505046191	0.00263143512219791
Eurytemora_affinis	30425	18252	14	0.332590235256314	0.151919490892926	0.136098169978343	0.000000000000000000000000000000000000000000000000000000000000000000000000217201339751929	0.401360559051497	0.000561706079909895	0.0057587564212317	0.30468442114496	0.000210087182813409	0.000775303943902548
Tyto_alba	32967	13645	0	0.680301624791986	0.000964250741447269	0.872068897557989	0	0.564004632687955	0.0014270602503565	0.0277880555739233	0.455582243151083	0.000895050282448657	0.0103279746845724
Anser_cygnoides	31811	11447	0	0.571436570092795	0.00848795567952117	0.859631958682691	0	0.548305186574853	0.00154411930060117	0.027293132632656	0.442816014070668	0.000877194955618005	0.00840877898048678
Ursus_arctos	51919	15184	0	0.770332198900235	0.0000708133446976165	0.860476778558312	0	0.621989497682759	0.00132397091505329	0.0266160181716444	0.468819107689218	0.00075769282013569	0.00809421347815129
Seriola_lalandi	38827	17151	0	0.706280606547366	0.000500470185153833	0.474193900310612	0	0.629359367482479	0.000662703257531838	0.00753230084497531	0.382706090451679	0.000238105595225845	0.000931373541122188
Balaenoptera_acutorostrata	37625	14941	0	0.584870527120854	0.00675553366316515	0.855084733215684	0	0.613752520648779	0.00136451739500544	0.0278187632635315	0.458853906499773	0.000763490129938045	0.0082068909562819
Podarcis_muralis	50554	18199	0	0.630193166218652	0.00289807237295818	0.727855468943293	0	0.576453835070117	0.00103050759201805	0.0193263533832674	0.444898014737865	0.000282978881882566	0.00136331173524541
Anas_platyrhynchos	45225	13825	0	0.70632610221742	0.000499866014723342	0.874831497872031	0	0.606253826910777	0.00156452806100839	0.0338401168421628	0.465937116801763	0.000952963450878145	0.0118893602223859
Odocoileus_virginianus	48221	16570	0	0.335464484046992	0.148195205691291	0.842032782542943	0	0.62549133099495	0.00126030076605392	0.0263190924065798	0.461986697566667	0.000699909856373819	0.00752005281201258
Diabrotica_virgifera	28061	11963	0	0.4909644122023	0.0279382303249872	0.0712378880325711	0.000000000000113200493586965	0.339228635155333	0.000659991584259424	0.00521094990654132	0.323522063423917	0.000246308086509304	0.000657455577501404
Trachemys_scripta	42076	10275	0	0.619963434595537	0.00354719581047689	0.744987492085727	0	0.530779133022005	0.00149681345701789	0.0230206291455038	0.446835151606343	0.000635474218931314	0.00398577725648321
Glossina_fuscipes	22320	10545	0	0.654096564627712	0.00175668154305007	0.141168604579695	0.00000000000000000000000000000000000000000581418217933011	0.353142751045691	0.000360396261946108	0.00136964223501276	0.292031026946972	0.000530732827324873	0.00257847431543832
Ceratosolen_solmsi	12833	8814	0	0.551952477211245	0.0116290881658603	0.797218997801938	0	0.383188761604331	0.00191272989348393	0.0322463331787939	0.238026667074933	0.000806789197931692	0.00548260490578149
Bombus_vancouverensis	24285	9485	0	0.77161858170023	0.0000676677827720789	0.835807091476622	0	0.354122255540163	0.00146573072372408	0.0203772567691358	0.271756406866297	0.000855584007991165	0.0065874839285773
Peromyscus_maniculatus	45588	13043	0	0.627649949432904	0.00304938785584446	0.813494887865314	0	0.604362149189772	0.00112202934725388	0.0164204829730988	0.46518958039827	0.000589984276564603	0.00427026318680854
Equus_asinus	42247	16347	0	0.656865733785723	0.00165315969358844	0.861418816331094	0	0.614878103071319	0.00126310603195436	0.0260806061535937	0.462612210371877	0.000727780205922293	0.00808320273332696
Gorilla_gorilla	51654	16271	0	0.734543311948672	0.00022586532984657	0.827924188522497	0	0.595210324552673	0.00128572478798424	0.0268973985974424	0.45785762278756	0.000660171446860051	0.00647899435928
Vicugna_pacos	44159	15184	0	0.596689408945182	0.00548184311523922	0.841886534629618	0	0.621348037936094	0.00125880444120605	0.024060393624302	0.45752217165892	0.00075230977909537	0.00807412807310553
Pan_troglodytes	80811	16719	0	0.601357979858567	0.00503660981562505	0.82588887218766	0	0.597128268666949	0.00124490280856792	0.0259108220234837	0.461965179462085	0.000663824231287707	0.00669366504657923
Struthio_camelus	25438	11749	0	0.699486332713801	0.000597950996355915	0.85343139614845	0	0.512264731245735	0.00127774960476294	0.0191819349724919	0.430076317392028	0.00071967931006966	0.00580867813927437
