species	median_copy_tRNA	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc_duc_ag	gc_abond_ag	gc_abond_duet	gc2	gc2_top5	gc4	gc4_top5	gc3	gc3_top5	std_gc3	var_gc3	gci	gci_top5	std_gci	var_gci	average_RTF_abundant_tRNA_WB_WC_notambiguous	expressed_overused_WB_WC_notambiguous	expressed_overused_background_WB_WC_notambiguous	constraint_overused_WB_WC_notambiguous	average_RTF_abundant_tRNA_WC_duet_ambiguous	expressed_overused_WC_duet_ambiguous	expressed_overused_background_WC_duet_ambiguous	constraint_overused_WC_duet_ambiguous
Polistes_canadensis	0.000303766707168894	9876	8885	0	0.725153437904767	0.000297306530149831	0.718602762945085	0	0.5	0.2	0.25	0.246318408796215	0.280801536306568	0.261794729349022	0.264905004584993	0.299383300777443	0.326150524364502	0.000969351087690147	0.00834871500476595	0.230959290600455	0.233682837025403	0.000660445748270527	0.00367663359483823	1.76395033537891	0.02161	0.01898	0.00972548794171868	2	0.04139	0.04782	0.00461012929235841
Polistes_dominula	0.000294724432655467	10179	9278	0	0.728329236854413	0.000271250927787022	0.678084967059161	0	0.583333333333333	0.111111111111111	0	0.228859452243616	0.274379768280464	0.240195844156387	0.25847130374918	0.281755514136305	0.320020644650554	0.00090539053954144	0.0076054737659076	0.222059910266496	0.226942193407695	0.000640596728829166	0.00360381813204056	1.75569500527484	-0.00322	-0.00197000000000003	-0.00386285030257894	2	0.06302	0.06132	0.00213872193110226
Solenopsis_invicta	0.000202360876897133	14825	10817	0	0.701891789920176	0.000561746177540413	0.597700967760165	0	0.75	0.4	0.5	0.436347750498923	0.479889924931873	0.449441721595814	0.447823001341165	0.46438709689095	0.48763688526201	0.00124899147384977	0.0168743004338234	0.281894592572192	0.290114463859131	0.000657894134273423	0.0043676339660777	1.91657356053908	0.0419099999999999	0.0346399999999999	0.0210396713080777	2	0.02735	0.0268	0.00541909134208451
Acromyrmex_echinatior	0.000267403511899456	11219	9831	0	0.601442840927262	0.00502880162659785	0.57556764282515	0	0.333333333333333	0.222222222222222	0.25	0.4049195142646	0.429152509084959	0.404673023384286	0.393024773821245	0.426766864477869	0.439312378442316	0.00114992572793907	0.0129998181663799	0.267253192688606	0.26868858590556	0.000567149193811575	0.00300171439743972	1.81169386169386	0.04392	0.03989	0.0193337099099847	2	0.00827	0.01431	0.000261837505176443
Atta_cephalotes	0.000285959393766085	10491	1269	0	0.685449122741564	0.000851125230430831	0.427641067128189	0.000000000000000000000000000000000000000000000000000000338551928352886	1	0.571428571428571	0.75	0.387697053837207	0.452964606391774	0.366123910431779	0.419420380301871	0.398589866481441	0.451856542181063	0.00284891104818491	0.0102995772896365	0.251168334484665	0.255660945873085	0.00133391067624462	0.00216187099602225	1.80616281866282	0.02852	0.02668	0.0148838167055898	2	0.07867	0.0676	0.00198061002800548
Dufourea_novaeangliae	0.000304754164973588	9844	8846	0	0.721788027500411	0.000327218471293622	0.829655964463265	0	0.25	0.545454545454545	0.25	0.397379125384194	0.420161820371126	0.392533753282018	0.36675271659336	0.431023774719094	0.439429170589906	0.00168746629736214	0.0251893609968689	0.31293918190619	0.306977456063341	0.000781791123957451	0.00510716515268275	1.74387997623292	0.02698	0.0277599999999999	-0.0225083032318445	2	0.000519999999999965	0.02595	-0.0104849093091233
Megachile_rotundata	0.000278086763070078	10788	9365	0	0.834992884181085	0.0000046538864689168	0.848740335651946	0	0	0.3	0.2	0.336912085820339	0.337555445499871	0.337379779685335	0.306740930611955	0.379541508760741	0.37558539911421	0.00162868230109448	0.0248416555449188	0.281380406729522	0.274378250028226	0.00088662387063633	0.0070057400256969	1.77758352758353	0.03412	0.0395300000000001	-0.00810515819710711	2	-0.02398	0.00586000000000003	-0.00663891137479455
Habropoda_laboriosa	0.000297944185122654	10069	8669	0	0.577509759087474	0.0076646596242317	0.856083236375537	0	0.333333333333333	0.4	0.2	0.357513082176739	0.367669670504849	0.338668147269034	0.332732373265014	0.387259471680364	0.406186985108177	0.0017663222409187	0.0270463633292256	0.293920147373818	0.289886579629423	0.000971679306221251	0.00774400584928489	1.76264013764014	0.03551	0.03321	-0.00224359259204598	2	0.01251	0.03365	-0.0170728295712128
Eufriesea_mexicana	0.000291346994270176	10297	9329	0	0.698284098754926	0.000616775155041642	0.867920345355214	0	0.0833333333333333	0.3	0	0.329116542798035	0.332848303601732	0.312723959407469	0.305374689922456	0.356550607065633	0.366632838573987	0.00184930235122018	0.0319044260883256	0.268299527158522	0.263482845765954	0.00108522992505587	0.0103993028337906	1.87215235744647	0.0528000000000001	0.0504100000000001	-0.00141576218144079	2	-0.01127	0.01626	-0.0223471267706424
Apis_mellifera	0.000301962757926522	9935	9431	0	0.643291011388314	0.00221412370684854	0.860191265090721	0	0	0.272727272727273	0.25	0.263075434393255	0.217189894083656	0.284132632432279	0.194122313768574	0.311712579917833	0.247116374539645	0.00205316806342375	0.0397563719806308	0.195953514849928	0.15823369354195	0.00105384377002764	0.00994974617027795	1.7523199023199	0.09531	0.06373	0.00370442189154541	2	-0.16092	-0.07969	-0.0207340926958563
